小区,count,lng,lat,上线时间,户型数量,区,地段,地址
北外滩中心,60000,121.51401820316002,31.257051836785998,2014-06-14,1,虹口,北外滩,东大名路1050号（近公平路）
首创禧悦翠庭,38000,121.086527,31.137531,2016-12-28,8,青浦,青浦新城,黄泥娄路287弄
金科集美嘉悦,18000,120.96109512953001,30.916354472223002,2017-12-31,3,上海周边,嘉善,姚庄大道和兴学路交汇处
上海高尔夫社区汤泉美地城,19800,121.206442,30.881077,2016-10-01,7,金山,朱泾,金石北路6800弄
朱家角新城观澜府,34375,121.05810600000001,31.129139000000002,2017-03-11,3,青浦,朱家角,阁游路258弄
外冈壹号,25000,121.182447,31.365116999999998,2016-08-06,4,嘉定,嘉定镇,外青松公路199弄
森兰美伦,40000,121.600296,31.322695,2016-04-06,1,浦东,外高桥,兰嵩路555号
盛誉世家,42000,121.10780756406,31.167924174903003,2017-07-08,3,青浦,青浦新城,淀湖路666弄
新城上坤樾山美墅,100000,121.24304172986,31.105564960791,2017-03-12,7,松江,佘山,洞塔路728弄
金地天境,0,121.231406,31.131874,2017-06-22,7,青浦,赵巷,嘉松中路6888弄
中南君悦府,46491,121.08459664513,31.139698294884,2017-06-26,7,青浦,青浦新城,大盈浦路1800弄
同润蓝美俊庭,37500,121.753193,30.967571000000003,,5,浦东,惠南,南芦公路989弄
东渡悦来城,41000,121.08966516515,31.14216307874,2017-04-22,6,青浦,青浦新城,青浦区淀山湖大道1088号
上海西环中心·星信名邸,49800,121.31065843626001,31.312365493706004,2017-06-26,5,嘉定,南翔,德园路955弄
信达蓝尊,44000,121.260976,31.06451,2018-01-19,9,松江,松江新城,长水街277弄
新城盛世,41000,121.10756577023999,31.167327353544998,2017-09-29,3,青浦,青浦新城,淀湖路555弄
鹏欣一品漫城五期前滩·尚城,68000,121.49196699999999,31.120801,2016-10-30,3,闵行,浦江,闵行芦恒路306弄（8号线芦恒路站旁）
嘉兴万达广场,18000,120.72472900000001,30.758614,2013-12-15,0,上海周边,嘉兴,龙凤路
青浦绿地中心,18000,121.13137708811001,31.165049157747003,2016-12-07,0,青浦,青浦新城,华纺路299弄
奉贤宝龙城市广场,22500,121.46908674455,30.936387021047,2014-06-30,0,奉贤,南桥,环城东路732弄
中惠金钻天地商铺,25000,121.67822543796999,31.293500196962,2016-10-15,0,浦东,曹路,海鹏路218号
新华红星国际广场,90000,121.37856076105,31.180830615444002,2016-07-13,8,闵行,金虹桥,虹井路120弄2号（近吴中路）
上海进口商品展示贸易中心,40000,121.769814,31.078746000000002,2016-01-01,0,浦东,惠南,川南奉公路5959弄
亿丰时代广场,130000,121.51387700000001,31.168676,2014-03-30,0,浦东,三林,云台路766、768、772-800号等
中意国际,23000,121.506914,31.11226,2013-12-30,2,闵行,浦江,浦星公路800号5-8幢
临港宝龙城市广场,30000,121.821973,30.913154,2015-11-20,0,浦东,临港新城,鸿音路3155弄
复地申公馆,23000,121.52366,31.080329,2012-09-27,3,闵行,浦江,恒南路688弄（近联航路）
金山红星国际广场商铺,25000,121.351248,30.755107000000002,2015-05-31,0,金山,金山新城,杭州湾大道1818弄
七宝宝龙城,36000,121.36171100000001,31.162984,2015-03-28,0,闵行,七宝,漕宝路3207号（新镇路口）
保利翡丽公馆翡丽星街,60000,121.26634787446999,31.121270012012,2015-10-10,0,松江,泗泾,泗宝路75号
尚都里,36000,121.06274831953002,31.116698874579,2016-09-03,0,青浦,朱家角,新风路210弄、240弄、258弄、268弄、288弄
正荣御首府,23000,121.32538600000001,30.751565000000003,2017-03-04,14,金山,金山新城,龙轩路1998弄
宝山宝龙广场,35000,121.36525790869,31.394659168897,2015-06-30,0,宝山,罗店,杨南路2211号
嘉定宝龙广场,50000,121.267699,31.351114000000003,2016-09-24,0,嘉定,嘉定新城,阿克苏路1077、1097号
绿地·天呈,40201,121.24666155738001,31.402877109171,2017-07-06,6,嘉定,嘉定镇,胜竹路2600号
新西塘孔雀城翰邻悦府,16000,120.9306240305,30.801319317755,2018-05-15,5,上海周边,嘉善,罗星街道钟家村
昆山万科海上传奇,18500,120.96791699999999,31.187395000000002,2017-10-01,1,上海周边,昆山,"周同公路,近锦东路"
碧桂园十里江南,18200,120.87421100000002,31.094671,2017-12-28,5,上海周边,其他,张园东路1450号
南通恒大悦珑湾,8500,121.02504677188,31.923987694776002,2017-10-01,6,上海周边,其他,南通通州区锡通科技产业园枫杨路与枫香路交汇处
浦江坤庭,60000,121.49424099999999,31.098625,2016-09-29,9,闵行,浦江,浦秀路1385弄
鸿泰乐颐小镇,13000,121.43306399999999,31.800314,2017-06-28,2,上海周边,启东,"海西路,近永泰路"
盛世御珑湾,80000,121.52366699999999,31.324603000000003,2017-04-30,9,杨浦,中原,闸殷路889弄
尚景丽园,40000,121.579921,31.126842,2017-07-14,5,浦东,周康,康桥镇梓营路155弄
西塘东区（一期）,40000,120.90306221168998,30.952809355697,2017-09-08,0,上海周边,嘉善,西塘镇里仁街166号
象屿都城,24000,121.078346,31.297219000000002,2017-12-02,7,花桥,花桥,金中路188号
翡翠公馆,14000,120.94451154709999,30.875053028298996,2017-11-18,0,上海周边,嘉善,320国道与申友路交汇处
融创•海上桃源,14000,121.61568069588999,31.588528846725,2017-10-01,0,崇明,崇明新城,崇明岛江申二路北首（与沿江路交叉口）
尚品华庭,38300,121.323742,31.213167,2018-01-15,0,闵行,华漕,申虹路928弄
上海长滩,55000,121.48231899999999,31.421164,2017-07-09,6,宝山,淞宝,牡丹江路1885号
中铁北城时代,42222,121.44486299999998,31.396337,2017-07-05,3,宝山,杨行,月辉路168弄，月辉路218弄
嘉善国际木雕城,42222,120.94180015845,30.884411027262,,0,上海周边,嘉善,木业大道777号
天星花苑商铺,10000,120.81085205234,30.899998286368998,2011-03-25,0,上海周边,嘉善,天凝镇凝溪东路51号
万联城,20500,120.93407718032,30.824457753734002,2014-12-21,0,上海周边,嘉善,世纪大道与嘉善大道交汇处
阳光城·海悦府,11000,121.62152699517999,31.81370202133,2017-12-10,4,上海周边,启东,华石路与通江路交汇处
毕加索花园小镇,21000,121.303372,30.806046000000002,2014-10-18,7,金山,金山新城,康德路
合生广富汇,55000,121.20152,31.072558,2018-01-16,5,松江,松江新城,银泽路3188弄
嘉宝梦之缘景庭,43000,121.254951,31.343306,2016-08-26,13,嘉定,嘉定新城,云屏路1051号
国瑞·瀛台,27000,121.495819,31.764879999999998,2018-03-10,8,上海周边,启东,永兴中路
新湖·青蓝国际,100000,121.48096899999999,31.268546,2015-04-24,4,静安,西藏北路,闸北青云路306号
保利天琴宇,35000,121.27095,31.364281,2016-04-02,9,嘉定,嘉定新城,远香湖路600弄
