小区,房屋数量,count,均价变动,lng,lat,地址,ID
世茂尚景蓝湾,24,9832,0.003573,120.788409,30.711942,五环洞路88号,440697
教师新村,3,9160,0.252393,120.954919,31.406447,海峰路,883682
满庭芳,2,7971,0.025341,120.546743,30.640278,凤鸣路21号,892488
和融优山美地公馆(别墅),1,16176,-0.120392,120.669582,31.289947,独墅湖大道,888467
芝溪花园,5,8548,-0.121299,120.967626,31.609806,芝溪路,885256
嘉宝花园一期(别墅),1,30000,0.071429,120.647862,31.275341,迎春路174号,887704
绿景苏州公馆,4,11666,-0.085952,120.601576,31.220431,塔韵路199号,1002470
崇文府第,7,9888,0.000202,120.938103,30.829121,阳光东路383号,890344
吴新小区,1,7555,-0.238484,120.657109,31.180345,新吴街,886826
海韵华庭,1,9534,,120.952148,30.542992,长安北路333号,890477
鑫苑国际城市花园,20,18133,-0.003243,120.568911,31.322939,华山路8号,886535
大柳枝巷,1,15891,-0.141000,120.641860,31.322046,大柳枝巷,885819
如意公寓,1,8163,,120.669130,30.920412,如意路12号,887367
太湖胥香园(别墅),1,16170,0.231906,120.484848,31.230288,子胥路,887954
中央花园,6,8571,-0.016862,120.629583,30.673005,兴旺路19号,926331
明珠花园,18,7442,0.251598,119.924021,31.000952,海兴路,939544
枫杨坊,27,6045,0.006242,120.779983,30.764849,天竹路71号,889777
盛华园,1,27049,0.041508,120.587604,30.638775,利民路,892506
太湖樱花园,1,18867,0.235722,120.489937,31.244623,孙武路,887855
万丰苑小区,1,7280,-0.000412,120.922097,31.369583,中华园西路,884127
南街小区,2,11250,-0.000711,120.958497,31.383959,南街,883901
凤凰花苑,18,10204,0.101944,120.929017,30.624229,嘉盐路,614808
时代广厦,1,7833,-0.282627,120.693782,30.528707,海昌路192号,891426
中梁秀湖壹号院,51,10625,0.000188,120.685475,30.780036,秀园路,890333
北大金城,186,10852,0.016532,120.919038,30.861928,体育北路533号,439978
合景峰汇国际天汇,7,15555,-0.037319,120.613019,31.369989,阳澄湖西路,888950
伊顿花园,1,24242,-0.003822,120.739437,31.313430,南施街1号,888611
幸福未来花园,1,13043,0.003153,120.430428,31.351459,富春江路,886758
金凤凰温泉逸墅,52,9068,0.015340,120.638151,31.791465,金谷路1号,804644
双龙景苑,77,6000,-0.145786,120.926607,30.707550,平林路,889977
云梨小区,2,8563,-0.022712,120.667634,31.165537,运东大道763号,887035
绿杨新村,1,8125,0.300080,120.670633,30.896425,绿杨路,887311
南湖秋月,1,11023,,120.862609,31.116187,富贵路2号,884576
学府花苑,2,30927,-0.052482,120.586850,31.265245,学府路,886660
环球公馆,1,9236,0.076457,120.725239,30.756713,文昌路1185号,944521
中南世纪城,6,13845,0.068369,120.646623,31.135135,中山南路，近长板路,887080
大发大小区,1,26987,-0.370290,120.568063,30.645505,茅盾东路,892439
黎明苑,2,9550,0.098080,120.821126,30.715118,东余线,889903
新都汇,1,13125,-0.104340,120.957429,31.292647,新吴街19号,884552
茶香坊(东区),4,7945,0.138252,120.798530,30.793854,章园路559号,890162
皇都花苑,33,11274,0.001066,120.793868,30.757285,南溪西路2219号,889831
化工新村,1,18269,0.087505,120.629832,31.295100,西二路,886145
万科新都会,27,17021,0.009969,120.415426,31.350758,武夷山路,886756
永福花园,7,9176,-0.041771,120.922842,30.841239,晋阳西路,890437
怡佳苑,12,57031,-0.066474,120.552768,31.885296,人民路,889583
博雅苑,3,29191,0.004819,120.612016,31.273033,宝带西路858号,886411
绿城安吉桃花源,9,12857,-0.171265,119.638616,30.582754,梅灵线,939678
金色华庭,12,9662,0.001140,120.727854,30.632714,兴乐路344号,926313
紫藤花墅,1,13725,-0.057478,119.878998,31.013360,五峰路288号,994853
玉石花园,1,8589,0.211595,120.911885,31.505169,玉石路,884315
枫丹御园,5,12902,-0.023981,120.928903,31.177136,环湖北路118号,883444
碧桂园凤凰岛,5,18181,0.192901,120.873310,31.246014,湖滨路68号,888124
苏州吴中万达广场,10,11333,0.020348,120.614096,31.259948,友新路，近石湖西路,887689
